[2025-08-24T15:37:35.1475538+09:00] Ellen
Gravity: <0, -9.81, 0>
EffectiveGravity: <0, -9.81, 0>
SolverIterationCount: 8
SubstepCount: 1
Damping: 0.98
BoneBlendFactor: 0.5
GroundHeight: 0
Restitution: 0.2
Friction: 0.5
LockTranslation: True
RigidBody: 頭 BoneIndex:10 Mass:14.625 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 18.080936, -0.17313504> Rotation:<-0, 0, -0> Size:<0.8, 0.8, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 頭1 BoneIndex:10 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 17.597055, 0.4125405> Rotation:<0, 0, -1.5707964> Size:<0.5, 0.45, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 頭2 BoneIndex:10 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 17.744165, 0.1596923> Rotation:<0, 0, 1.5707964> Size:<0.5553541, 0.49981868, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 頭3 BoneIndex:10 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 18.234669, 0.36064407> Rotation:<0, 0, -1.5707964> Size:<0.5, 0.45, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 頭4 BoneIndex:10 Mass:5.625 Shape:Sphere LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 18.308142, -0.7948039> Rotation:<0, 0, -0> Size:<0.9151451, 0.9151451, 0> Group:0 Mask:65527 Mode:FollowBone
RigidBody: 首 BoneIndex:9 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 16.829014, -0.3176144> Rotation:<-0.042367868, 0, -0> Size:<0.4, 0.6377982, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 下半身 BoneIndex:5 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 11.13006, -0.03573267> Rotation:<-0.008998917, 0, -1.5707963> Size:<1.1089796, 1.2840817, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 下半身2 BoneIndex:5 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 10.492385, -0.0198912> Rotation:<-0.008998918, 0, -1.5707964> Size:<0.9, 1.8, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 上半身1 BoneIndex:7 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 13.611875, 0.29476535> Rotation:<0.0651863, 0, -1.5707963> Size:<0.6968768, 0.6230231, 0> Group:0 Mask:65407 Mode:FollowBone
RigidBody: 上半身2 BoneIndex:8 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 15.052174, 0.02501083> Rotation:<0.3288235, 0, -1.5707963> Size:<0.9992128, 0.51683426, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 上半身 BoneIndex:6 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 12.710344, 0.2628314> Rotation:<-0.008998917, 0, -1.5707963> Size:<0.7753361, 0.5815021, 0> Group:0 Mask:65407 Mode:FollowBone
RigidBody: 上半身-2 BoneIndex:6 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 12.059875, 0.2309877> Rotation:<-0.008998918, 0, 1.5707964> Size:<0.86516315, 1.0529312, 0> Group:0 Mask:65407 Mode:FollowBone
RigidBody: 右肩 BoneIndex:90 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-0.7247295, 15.84875, -0.34559473> Rotation:<-0.0061895982, 0.019713424, 1.2666031> Size:<0.6, 0.76660675, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右腕 BoneIndex:92 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-2.29827, 14.83442, -0.3887248> Rotation:<-0.09564763, -0.042586993, 0.9341183> Size:<0.55, 2.422277, 0> Group:0 Mask:61279 Mode:FollowBone
RigidBody: 右ひじ BoneIndex:97 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-4.3876023, 13.286671, -0.42524943> Rotation:<-0.06673479, -0.077645436, 0.9314681> Size:<0.5081714, 2.540857, 0> Group:0 Mask:61279 Mode:FollowBone
RigidBody: 右手首 BoneIndex:102 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-6.059594, 12.061196, -0.29792553> Rotation:<0.15195742, 0.058888853, 0.9469777> Size:<0.5, 1, 0> Group:0 Mask:65375 Mode:FollowBone
RigidBody: 左肩 BoneIndex:32 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0.7247295, 15.84875, -0.3455947> Rotation:<-0.0061895982, -0.019713424, -1.2666031> Size:<0.6, 0.76660675, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左腕 BoneIndex:34 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<2.2982695, 14.834423, -0.38872477> Rotation:<-0.09564763, 0.042586993, -0.9341183> Size:<0.55, 2.422277, 0> Group:0 Mask:61279 Mode:FollowBone
RigidBody: 左ひじ BoneIndex:39 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<4.387602, 13.286674, -0.4252494> Rotation:<-0.06673479, 0.077645436, -0.9314681> Size:<0.5081714, 2.540857, 0> Group:0 Mask:61279 Mode:FollowBone
RigidBody: 左手首 BoneIndex:44 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<6.0595946, 12.061199, -0.2979255> Rotation:<0.15195742, -0.058888853, -0.9469777> Size:<0.5, 1, 0> Group:0 Mask:65375 Mode:FollowBone
RigidBody: 右足 BoneIndex:271 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-0.94103646, 8.600788, -0.03976689> Rotation:<-0.005921901, -0.0005934119, 0.08726646> Size:<0.95, 4.3, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右ひざ BoneIndex:272 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-1.261857, 3.5341845, -0.2787984> Rotation:<-0.107454695, -0.0060824724, 0.05235988> Size:<1, 5.435764, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右足首 BoneIndex:273 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-1.502962, 1.0209616, 0.3282415> Rotation:<1.257686, 0, -0> Size:<0.7, 1.889866, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左足 BoneIndex:275 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0.94103646, 8.600788, -0.03976689> Rotation:<-0.005921901, 0.0005934119, -0.08726646> Size:<0.95, 4.3, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左ひざ BoneIndex:276 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<1.261857, 3.5341845, -0.2787984> Rotation:<-0.107454695, 0.0060824724, -0.05235988> Size:<1, 5.435764, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左足首 BoneIndex:277 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<1.502962, 1.0209616, 0.3282415> Rotation:<1.257686, 0, -0> Size:<0.7, 1.889866, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 上半身2_1 BoneIndex:8 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 15.514852, -0.21999207> Rotation:<0.32882354, 0, 1.5707964> Size:<0.8, 1, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左足1 BoneIndex:275 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<1.1743228, 9.423129, -0.059283> Rotation:<-0.005921902, 0.000593412, -0.052345917> Size:<0.9, 1, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右足1 BoneIndex:271 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-1.1743228, 9.423129, -0.059283> Rotation:<-0.005921902, -0.000593412, 0.052345917> Size:<0.9, 1, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左足2 BoneIndex:275 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<1.10817, 8.853669, 0.19866657> Rotation:<-0.037337832, 0.000593412, -0.052326716> Size:<0.9, 1.5, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右足2 BoneIndex:271 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-1.10817, 8.853669, 0.19866657> Rotation:<-0.037337832, -0.000593412, 0.052326716> Size:<0.9, 1.5, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 左足3 BoneIndex:275 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<1.053313, 10.163025, 0.13292974> Rotation:<0.116251126, 0.000597434, -0.052418724> Size:<0.9, 1, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右足3 BoneIndex:271 Mass:1 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<-1.053313, 10.163025, 0.13292974> Rotation:<0.116251126, -0.000597434, 0.052418724> Size:<0.9, 1, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 胸 BoneIndex:129 Mass:1 Shape:Capsule LinearDamping:0 AngularDamping:0 Restitution:0 Friction:0 Position:<0, 14.768037, 1.0046598> Rotation:<-0, 0, -1.570451> Size:<0.611209, 0.81494546, 1.9088684> Group:0 Mask:57334 Mode:FollowBone
RigidBody: 左胸上 BoneIndex:130 Mass:0.1 Shape:Capsule LinearDamping:0.9999 AngularDamping:0.99999 Restitution:0 Friction:0 Position:<0.5905402, 15.255542, 0.7427259> Rotation:<0.12217327, 1.4137169, -1.5704496> Size:<0.15341592, 0.63975185, 0> Group:4 Mask:57088 Mode:Physics
RigidBody: 左胸上2 BoneIndex:131 Mass:0.2 Shape:Sphere LinearDamping:0.9999 AngularDamping:0.99999 Restitution:0 Friction:0 Position:<0.6988058, 14.822479, 1.1364195> Rotation:<-0, 0, -0> Size:<0.39369348, 0.90502936, 0> Group:4 Mask:57088 Mode:Physics
RigidBody: 左胸下 BoneIndex:133 Mass:0.1 Shape:Capsule LinearDamping:0.9999 AngularDamping:0.99999 Restitution:0 Friction:0 Position:<0.60038257, 14.369729, 0.7427259> Rotation:<-2.9802322E-08, 1.4835298, -1.69297> Size:<0.15341592, 0.88581026, 0> Group:4 Mask:57088 Mode:Physics
RigidBody: 右胸上 BoneIndex:135 Mass:0.1 Shape:Capsule LinearDamping:0.9999 AngularDamping:0.99999 Restitution:0 Friction:0 Position:<-0.5905402, 15.255542, 0.7427259> Rotation:<0.12217327, -1.4137169, 1.5704496> Size:<0.15341592, 0.63975185, 0> Group:4 Mask:57088 Mode:Physics
RigidBody: 右胸上2 BoneIndex:136 Mass:0.2 Shape:Sphere LinearDamping:0.9999 AngularDamping:0.99999 Restitution:0 Friction:0 Position:<-0.6988058, 14.822479, 1.1364195> Rotation:<-0, 0, -0> Size:<0.39369348, 0.90502936, 0> Group:4 Mask:57088 Mode:Physics
