07-12 16:24:11.514  3771  3906 E PlayCommon: [83] Failed to connect to server for server timestamp: java.net.UnknownHostException: Unable to resolve host "play.googleapis.com": No address associated with hostname
07-12 16:24:11.516  3771  3906 E PlayCommon: [83] Failed to connect to server for log upload.
07-12 16:24:11.533  2842  3079 E PlayCommon: [91] Failed to connect to server for log upload.
07-12 16:24:11.626  2842  2902 E Finsky:background: [63] [Counters] attempted to use a non-positive increment for: 5114
07-12 16:24:11.627  2842  2902 E Finsky:background: [63] [Counters] attempted to use a non-positive increment for: 5129
07-12 16:24:11.627  2842  2902 E Finsky:background: [63] [Counters] attempted to use a non-positive increment for: 5115
07-12 16:24:11.627  2842  2902 E Finsky:background: [63] [Counters] attempted to use a non-positive increment for: 5116
07-12 16:24:11.627  2842  2902 E Finsky:background: [63] [Counters] attempted to use a non-positive increment for: 5118
07-12 16:24:11.627  2842  2902 E Finsky:background: [63] [Counters] attempted to use a non-positive increment for: 5119
07-12 16:24:11.910  3032  3108 E PlayCommon: [73] Failed to connect to server for log upload.
07-12 16:24:11.920   546   546 E BpTransactionCompletedListener: Failed to transact (-32)
07-12 16:24:12.014  2842  2922 E Finsky:background: [68] [Counters] attempted to use a non-positive increment for: 1443
07-12 16:24:59.491  8050  8050 E AndroidRuntime: FATAL EXCEPTION: main
07-12 16:24:59.491  8050  8050 E AndroidRuntime: Process: com.example.minimikudancemaui, PID: 8050
07-12 16:24:59.491  8050  8050 E AndroidRuntime: java.lang.RuntimeException: Canvas: trying to draw too large(293580000bytes) bitmap.
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.graphics.RecordingCanvas.throwIfCannotDraw(RecordingCanvas.java:266)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.graphics.BaseRecordingCanvas.drawBitmap(BaseRecordingCanvas.java:120)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at crc648e35430423bd4943.SKCanvasView.n_onDraw(Native Method)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at crc648e35430423bd4943.SKCanvasView.onDraw(SKCanvasView.java:60)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24877)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23727)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at com.microsoft.maui.PlatformContentViewGroup.dispatchDraw(PlatformContentViewGroup.java:48)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24880)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at android.widget.HorizontalScrollView.draw(HorizontalScrollView.java:1890)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at crc6452ffdc5b34af3a0f.MauiHorizontalScrollView.n_draw(Native Method)
07-12 16:24:59.491  8050  8050 E AndroidRuntime:        at crc6452ffdc5b34af3a0f.MauiHorizontalScrollView.draw(MauiHorizontalScrollView.java:62)
